cell	method	threshold	true_scenario	replicates	total_proteins	selected_proteins	mean_replicate_selection_rate	pooled_selection_rate
balanced_heterogeneity	balanced_AdaFilter	0.01	M1	200	9852	71	0.00725284	0.00720666
balanced_heterogeneity	balanced_AdaFilter	0.01	M2	200	12058	0	0	0
balanced_heterogeneity	balanced_AdaFilter	0.01	M3	200	8022	0	0	0
balanced_heterogeneity	balanced_AdaFilter	0.01	M4	200	10993	0	0	0
balanced_heterogeneity	balanced_AdaFilter	0.01	M5	200	13966	3	0.000223541	0.000214807
balanced_heterogeneity	balanced_AdaFilter	0.05	M0	200	45109	0	0	0
balanced_heterogeneity	balanced_AdaFilter	0.05	M1	200	9852	503	0.0500341	0.0510556
balanced_heterogeneity	balanced_AdaFilter	0.05	M2	200	12058	13	0.00103265	0.00107812
balanced_heterogeneity	balanced_AdaFilter	0.05	M3	200	8022	0	0	0
balanced_heterogeneity	balanced_AdaFilter	0.05	M4	200	10993	3	0.000276799	0.000272901
balanced_heterogeneity	balanced_AdaFilter	0.05	M5	200	13966	10	0.000725242	0.000716025
balanced_heterogeneity	balanced_AdaFilter	0.1	M0	200	45109	0	0	0
balanced_heterogeneity	balanced_AdaFilter	0.1	M1	200	9852	1631	0.162442	0.16555
balanced_heterogeneity	balanced_AdaFilter	0.1	M2	200	12058	65	0.00523305	0.00539061
balanced_heterogeneity	balanced_AdaFilter	0.1	M3	200	8022	0	0	0
balanced_heterogeneity	balanced_AdaFilter	0.1	M4	200	10993	19	0.00169701	0.00172837
balanced_heterogeneity	balanced_AdaFilter	0.1	M5	200	13966	84	0.00596391	0.00601461
balanced_heterogeneity	balanced_BY	0.01	M0	200	45109	0	0	0
balanced_heterogeneity	balanced_BY	0.01	M1	200	9852	0	0	0
balanced_heterogeneity	balanced_BY	0.01	M2	200	12058	0	0	0
balanced_heterogeneity	balanced_BY	0.01	M3	200	8022	0	0	0
balanced_heterogeneity	balanced_BY	0.01	M4	200	10993	0	0	0
balanced_heterogeneity	balanced_BY	0.01	M5	200	13966	0	0	0
